-793,5512,1897,-4285,3189,3612,-2954,2980,2951,5865,-3137,5770,101,-4436,-7564,3588,6258,9190,-1203,1641,1993,-5371,-4401,-4349,-1237,3669,-1899,-279,3900,-1038,5922,1135,8649,5215,1498,-5666,54,-2394,-3025,3654,2491,-653,-6226,5402,-4551,4988,4389,-982,4156,487,
-1851,-326,2777,165,-6686,-4223,-4038,-1625,1160,2062,5801,-3696,1068,5897,1344,4601,-5329,3085,811,421,-6654,-1556,-3181,-1184,762,5370,1340,4391,1195,5840,-9118,3738,-5810,-3102,4263,2358,6292,5376,4658,-4066,-5803,-2758,7819,-315,-1024,3698,2263,2370,-3385,4541,
2600,2043,1046,-8157,-2936,227,-4825,-5740,-7502,-143,4866,-7200,-1698,3816,-5540,5940,-2182,7145,1632,12224,-972,-4210,-7778,2837,11968,7209,-3832,3993,6490,-1334,-6511,6441,4142,3537,-3071,-11262,5140,-1955,-3263,9423,-1359,-9163,-4776,-2512,-6278,3135,3833,-9576,4178,1128,
6664,-5354,-4496,9883,2629,-281,8495,818,5896,-167,-6165,-6478,-3921,-2158,-6180,-2561,-7681,3990,-5033,-3773,-2772,-12459,4639,-3012,644,-4648,10547,421,2132,-1891,5655,-2438,3588,-3221,-602,3645,-2005,-1013,5341,-315,5616,-4544,-3313,-1411,8648,3214,-4726,-7167,-2291,-1503,
1490,-5,-199,2371,-2833,229,3385,1600,-2117,-6039,-5169,954,-2275,-2605,1186,238,-677,-6937,1968,-3180,-1215,3471,980,1750,-2781,-4846,1480,-229,-1240,-2156,-1545,-3148,-4949,-2030,2282,4945,-2072,-1158,4241,-2607,4744,1562,3889,-6264,2286,-2974,-1782,-929,-3133,1681,
3022,-1921,-894,5621,542,1494,925,3060,-218,-5383,-1661,909,-5197,-1669,-3476,2117,1905,716,-2470,-3794,-2564,-3575,-2255,-3572,-3457,-395,1766,2777,2405,-4905,428,-244,1343,-2874,2770,-1545,707,-2209,1769,2408,5318,-1797,-739,-4110,943,1484,352,-2237,-2276,-20,
2699,-2348,2360,-2983,-1348,-6640,-5004,1503,-2705,607,854,-6715,-3740,3069,-1824,6796,-7187,6614,4530,1325,-11108,-6927,-4701,-235,4918,7615,-2056,4576,6473,9095,-8776,-185,-2106,-1694,3744,2934,6007,-558,2018,2633,-6718,-1857,4339,-5425,-4252,7406,9405,-915,-57,2506,
842,4113,-56,-382,-159,1630,1215,3423,777,-3919,-1358,3315,-1502,-1578,-368,527,3222,646,-331,-988,806,-1557,-3477,-3073,-3677,-638,-458,1008,1662,-2974,-2106,1983,953,-84,2462,-3553,1552,160,-1357,881,1825,1270,1910,-1468,-264,2342,-314,-35,92,-1051,
5578,7832,-4441,-10672,5853,-3344,5794,704,-5097,-1504,-2664,-10915,-7081,-36,-2378,5082,-1450,61,1934,5009,-4593,-2154,-9239,2219,9277,-3528,-10054,8617,962,6223,-4131,2461,670,-1104,-1414,-9467,-3578,-2298,-12279,1145,-1642,92,-3489,-5817,7747,537,-1291,-1702,5967,2601,
3940,4715,-4793,6638,3062,6387,-1626,8719,4273,-5392,1527,11664,3216,1165,-4623,-2984,7302,3653,-5201,-1337,3030,-6574,4770,-9580,-13030,1328,3885,-2828,-485,-8744,5471,3916,5570,-1074,5713,-3590,5919,1273,-1491,2125,1667,5015,-2260,-462,-1636,5670,-1233,-2185,-3360,2844,
962,5236,-3268,-1648,4967,-4634,-4847,-1911,2364,412,-4246,8626,-961,-585,-3429,-5371,4460,191,5842,637,-2092,-1631,-2515,1966,-6888,4914,-3916,2023,-4563,-6277,683,-6603,3868,3460,3120,2157,-5316,-1970,-908,2572,-2360,6790,-8387,1883,-5694,-1290,2521,-1142,977,875,
3896,4316,-4974,4318,3578,5232,-799,7297,3134,-6176,442,9420,1922,1108,-3546,-2514,6663,1803,-4741,-420,2773,-5283,3901,-7747,-11375,148,3086,-2065,-120,-8944,3917,4890,4689,-1076,3496,-4073,4604,1607,-3044,2333,1626,3432,-2257,-1868,-994,4139,-2435,-3131,-3065,3002,
-139,7925,1038,-2400,-2819,2898,1326,1814,-5169,-4176,-4004,5878,-913,-3410,2787,5973,8883,-4243,221,-1439,1389,2207,-8721,2730,-4319,-423,-5446,5404,1025,-1745,-5249,2027,779,-582,2929,-7413,-1370,-2122,-1743,1715,3004,160,2095,-4689,424,-1800,223,360,4557,2080,
-336,4558,-2932,-1040,-112,2655,7087,708,-791,-6322,-7443,9158,-3017,-1267,1940,2309,12730,-13726,-1448,-1810,9156,8500,-1101,2240,-9370,-7665,-3158,65,-3066,-6814,-823,5380,-4579,325,-2884,-2552,-5486,-1410,-4255,-837,1273,760,3850,-2522,6835,-7348,-4352,724,606,-952,
590,5139,-716,-7873,-5046,6129,1870,1020,-2195,-7304,-2842,7865,-2578,-1054,-1797,8013,9014,-5716,1294,4317,7731,6087,-7961,2193,-5839,136,-7236,2050,3816,-11569,-2785,6694,-2872,3245,-590,-9241,-1614,-4552,-7968,8011,-375,-738,2922,-3943,645,-3760,-3150,-4963,-207,-1709,
-2014,986,4093,-241,-3260,209,-560,1579,402,-754,885,1186,470,-1223,1378,3571,2795,-646,1088,-572,474,1842,-2454,-945,-1823,328,-2510,184,187,694,-2484,2678,-4424,169,-299,1346,1430,-758,2789,86,1143,1243,6170,1091,-681,83,1668,1106,-524,-907,
817,4906,-4617,-13670,5315,213,4163,-1375,5990,389,-1112,-374,-1047,3599,-4265,5365,5605,4252,3428,12150,5023,-7155,-12089,-4905,643,-1421,-11846,7191,7502,-6496,-1810,10001,4127,209,-311,-9427,972,-7188,-11561,5103,-5454,-10865,-4289,4054,3230,2776,-553,-5314,-1183,-2054,
3154,-2239,-10911,-4364,8717,-7992,2840,-3649,114,-5157,1695,-3808,-5543,11030,-1907,-7381,-5484,-5639,5227,7547,-1843,-5207,4679,2924,-1270,2055,-5644,-638,-2109,-5604,-3005,-2490,-1253,244,-1713,-720,-814,-5739,-8118,4556,-11118,550,-7377,-4877,5659,-3097,-7383,-3587,-3541,2135,
8762,3363,-7629,8907,-3572,-1553,-8661,-11981,7817,6657,8335,-8494,3388,7625,-6803,-9825,-8661,3972,-3964,7581,-6455,-12255,4222,4752,6938,12358,6179,1844,-5124,4753,-7945,-2040,-4303,-2194,-1281,-3937,8256,10323,-693,6152,-12495,2670,-1129,-391,-7533,2819,3556,-6873,-11315,5231,
300,-43,2434,2218,-4120,2998,1045,551,-4674,-5550,-48,2025,-811,-3618,4594,3372,1164,-3693,-1562,-827,2085,4846,-1810,335,-2023,-3374,1157,516,491,-1982,-573,3335,-2195,538,-840,-2401,-566,-143,2663,-1553,4174,966,5293,-4127,-336,-2013,-245,1592,290,-2238,
-88,-3477,6813,1,-1370,-1720,-282,5038,-1584,2493,-91,-3269,-3540,-2336,1744,2807,-2463,5986,1992,-2975,-7146,-3516,-4184,-5245,2052,-706,1121,2126,6412,6916,-3758,-397,3145,-2036,6127,1754,3056,-864,4605,-4192,3982,-2244,5753,-3059,-526,6323,6173,3648,3869,-1594,
-5035,-2314,7517,2220,-7036,-283,-8386,-2018,4498,8472,6785,-2937,7139,-769,3585,4378,-3718,9931,-5200,3140,-3431,-3463,1011,-4066,5270,4855,4369,308,-301,7152,-3624,3196,-1464,-2095,779,-2496,7556,7626,959,-4601,-2729,519,9399,6158,-9121,6467,5166,3769,-6170,4426,
